question,answer,category,product,language
You refund me my paid amount for 50 gms of Cardamom. Or send me another pack,Direct from Idukki 🌿 Pure taste and authentic aroma from the hills of Idukki *Export Cardamom – 8.5 mm A+ Grade* 🔥 100g – ₹460 + ₹40 Delivery 🔥 200g – ₹840 ✅ Free Delivery 🔥 500g – ₹1799 ✅ Free Delivery *Clove – Adimali Origin (High Oil Content)* 🔥 100g – ₹180 + ₹40 Delivery 🔥 200g – ₹340 ✅ Free Delivery 🔥 500g – ₹649 ✅ Free Delivery *Idukki Black Pepper – Washed & Cleaned* 🔥 250g – ₹300 + ₹40 Delivery 🔥 500g – ₹540 ✅ Free Delivery 🍂*Ceylon Cinnamon (True Original Cinnamon)* 🔥 100g – ₹320 + ₹40 Delivery 🔥 200g – ₹560 ✅ Free Delivery 🔥 500g – ₹1400 ✅ Free Delivery 📦 Freshly packed • Direct from farms Pureleven – From the heart of Idukki Buy Now,complaint,cardamom,english
"Hello I’ve purchased from you earlier and was happy with the products, especially the black pepper and cardamom. However, not happy with shipping thru post with no method of tracking or no clue if and when, at all, would the order arrive. If you can ship thru a courier, I’ll be happy to purchase regularly. I’ve been purchasing my coffe beans from five farms in Coorg and they ship via courier. I can bear a little extra cost for the courier. Not a problem. Do let me know if it is possible. Thanks.",Direct from Idukki 🌿 Pure taste and authentic aroma from the hills of Idukki *Export Cardamom – 8.5 mm A+ Grade* 🔥 100g – ₹460 + ₹40 Delivery 🔥 200g – ₹840 ✅ Free Delivery 🔥 500g – ₹1799 ✅ Free Delivery *Clove – Adimali Origin (High Oil Content)* 🔥 100g – ₹180 + ₹40 Delivery 🔥 200g – ₹340 ✅ Free Delivery 🔥 500g – ₹649 ✅ Free Delivery *Idukki Black Pepper – Washed & Cleaned* 🔥 250g – ₹300 + ₹40 Delivery 🔥 500g – ₹540 ✅ Free Delivery 🍂*Ceylon Cinnamon (True Original Cinnamon)* 🔥 100g – ₹320 + ₹40 Delivery 🔥 200g – ₹560 ✅ Free Delivery 🔥 500g – ₹1400 ✅ Free Delivery 📦 Freshly packed • Direct from farms Pureleven – From the heart of Idukki Buy Now,complaint,cardamom,english
"Okay I have not received my balance order, of 50gms Cardamom yet . So what fees back to give you. Bad.......very bad",Direct from Idukki 🌿 Pure taste and authentic aroma from the hills of Idukki *Export Cardamom – 8.5 mm A+ Grade* 🔥 100g – ₹460 + ₹40 Delivery 🔥 200g – ₹840 ✅ Free Delivery 🔥 500g – ₹1799 ✅ Free Delivery *Clove – Adimali Origin (High Oil Content)* 🔥 100g – ₹180 + ₹40 Delivery 🔥 200g – ₹340 ✅ Free Delivery 🔥 500g – ₹649 ✅ Free Delivery *Idukki Black Pepper – Washed & Cleaned* 🔥 250g – ₹300 + ₹40 Delivery 🔥 500g – ₹540 ✅ Free Delivery 🍂*Ceylon Cinnamon (True Original Cinnamon)* 🔥 100g – ₹320 + ₹40 Delivery 🔥 200g – ₹560 ✅ Free Delivery 🔥 500g – ₹1400 ✅ Free Delivery 📦 Freshly packed • Direct from farms Pureleven – From the heart of Idukki Buy Now,complaint,cardamom,english
"3kg cardamom, how to order, your payment conditions, after sale service if any problem occurs",Direct from Idukki 🌿 Pure taste and authentic aroma from the hills of Idukki *Export Cardamom – 8.5 mm A+ Grade* 🔥 100g – ₹460 + ₹40 Delivery 🔥 200g – ₹840 ✅ Free Delivery 🔥 500g – ₹1799 ✅ Free Delivery *Clove – Adimali Origin (High Oil Content)* 🔥 100g – ₹180 + ₹40 Delivery 🔥 200g – ₹340 ✅ Free Delivery 🔥 500g – ₹649 ✅ Free Delivery *Idukki Black Pepper – Washed & Cleaned* 🔥 250g – ₹300 + ₹40 Delivery 🔥 500g – ₹540 ✅ Free Delivery 🍂*Ceylon Cinnamon (True Original Cinnamon)* 🔥 100g – ₹320 + ₹40 Delivery 🔥 200g – ₹560 ✅ Free Delivery 🔥 500g – ₹1400 ✅ Free Delivery 📦 Freshly packed • Direct from farms Pureleven – From the heart of Idukki Buy Now,complaint,cardamom,english
"Hello I am looking for export quality green cardamom with the following specifications: - Colour: Bright green, clean and fresh look - Size: 7mm+ or 8mm+ - Moisture: 8% – 12% - Quality: Well cleaned, dust free, no stems or stones - Aroma: Strong natural aroma, fresh smell - Defects: Full pods, no broken or damaged pieces Packing: Prefer vacuum packing or good quality export packing. Kindly share price per kg, minimum order quantity, and availability. Also please confirm if samples can be provided.",Direct from Idukki 🌿 Pure taste and authentic aroma from the hills of Idukki *Export Cardamom – 8.5 mm A+ Grade* 🔥 100g – ₹460 + ₹40 Delivery 🔥 200g – ₹840 ✅ Free Delivery 🔥 500g – ₹1799 ✅ Free Delivery *Clove – Adimali Origin (High Oil Content)* 🔥 100g – ₹180 + ₹40 Delivery 🔥 200g – ₹340 ✅ Free Delivery 🔥 500g – ₹649 ✅ Free Delivery *Idukki Black Pepper – Washed & Cleaned* 🔥 250g – ₹300 + ₹40 Delivery 🔥 500g – ₹540 ✅ Free Delivery 🍂*Ceylon Cinnamon (True Original Cinnamon)* 🔥 100g – ₹320 + ₹40 Delivery 🔥 200g – ₹560 ✅ Free Delivery 🔥 500g – ₹1400 ✅ Free Delivery 📦 Freshly packed • Direct from farms Pureleven – From the heart of Idukki Buy Now,complaint,cardamom,english
"I have not received my balance order, of 50gms Cardamom yet . So what fees back to give you. Bad.......very bad Okay",Direct from Idukki 🌿 Pure taste and authentic aroma from the hills of Idukki *Export Cardamom – 8.5 mm A+ Grade* 🔥 100g – ₹460 + ₹40 Delivery 🔥 200g – ₹840 ✅ Free Delivery 🔥 500g – ₹1799 ✅ Free Delivery *Clove – Adimali Origin (High Oil Content)* 🔥 100g – ₹180 + ₹40 Delivery 🔥 200g – ₹340 ✅ Free Delivery 🔥 500g – ₹649 ✅ Free Delivery *Idukki Black Pepper – Washed & Cleaned* 🔥 250g – ₹300 + ₹40 Delivery 🔥 500g – ₹540 ✅ Free Delivery 🍂*Ceylon Cinnamon (True Original Cinnamon)* 🔥 100g – ₹320 + ₹40 Delivery 🔥 200g – ₹560 ✅ Free Delivery 🔥 500g – ₹1400 ✅ Free Delivery 📦 Freshly packed • Direct from farms Pureleven – From the heart of Idukki Buy Now,complaint,cardamom,english
I haven't received my order yet,Direct from Idukki 🌿 Pure taste and authentic aroma from the hills of Idukki *Export Cardamom – 8.5 mm A+ Grade* 🔥 100g – ₹460 + ₹40 Delivery 🔥 200g – ₹840 ✅ Free Delivery 🔥 500g – ₹1799 ✅ Free Delivery *Clove – Adimali Origin (High Oil Content)* 🔥 100g – ₹180 + ₹40 Delivery 🔥 200g – ₹340 ✅ Free Delivery 🔥 500g – ₹649 ✅ Free Delivery *Idukki Black Pepper – Washed & Cleaned* 🔥 250g – ₹300 + ₹40 Delivery 🔥 500g – ₹540 ✅ Free Delivery 🍂*Ceylon Cinnamon (True Original Cinnamon)* 🔥 100g – ₹320 + ₹40 Delivery 🔥 200g – ₹560 ✅ Free Delivery 🔥 500g – ₹1400 ✅ Free Delivery 📦 Freshly packed • Direct from farms Pureleven – From the heart of Idukki Buy Now,complaint,cardamom,english
Order vanno? Already paid,Direct from Idukki 🌿 Pure taste and authentic aroma from the hills of Idukki *Export Cardamom – 8.5 mm A+ Grade* 🔥 100g – ₹460 + ₹40 Delivery 🔥 200g – ₹840 ✅ Free Delivery 🔥 500g – ₹1799 ✅ Free Delivery *Clove – Adimali Origin (High Oil Content)* 🔥 100g – ₹180 + ₹40 Delivery 🔥 200g – ₹340 ✅ Free Delivery 🔥 500g – ₹649 ✅ Free Delivery *Idukki Black Pepper – Washed & Cleaned* 🔥 250g – ₹300 + ₹40 Delivery 🔥 500g – ₹540 ✅ Free Delivery 🍂*Ceylon Cinnamon (True Original Cinnamon)* 🔥 100g – ₹320 + ₹40 Delivery 🔥 200g – ₹560 ✅ Free Delivery 🔥 500g – ₹1400 ✅ Free Delivery 📦 Freshly packed • Direct from farms Pureleven – From the heart of Idukki Buy Now,complaint,cardamom,english
My parcel is very delayed,Direct from Idukki 🌿 Pure taste and authentic aroma from the hills of Idukki *Export Cardamom – 8.5 mm A+ Grade* 🔥 100g – ₹460 + ₹40 Delivery 🔥 200g – ₹840 ✅ Free Delivery 🔥 500g – ₹1799 ✅ Free Delivery *Clove – Adimali Origin (High Oil Content)* 🔥 100g – ₹180 + ₹40 Delivery 🔥 200g – ₹340 ✅ Free Delivery 🔥 500g – ₹649 ✅ Free Delivery *Idukki Black Pepper – Washed & Cleaned* 🔥 250g – ₹300 + ₹40 Delivery 🔥 500g – ₹540 ✅ Free Delivery 🍂*Ceylon Cinnamon (True Original Cinnamon)* 🔥 100g – ₹320 + ₹40 Delivery 🔥 200g – ₹560 ✅ Free Delivery 🔥 500g – ₹1400 ✅ Free Delivery 📦 Freshly packed • Direct from farms Pureleven – From the heart of Idukki Buy Now,complaint,cardamom,english
I have not received my order get Cinnamon,"We're sorry to hear that. Could you please share your order details (order date, address, and what was ordered)? We'll investigate and resolve this promptly.",complaint,cinnamon,english
